image_name,target,predictions
ISIC_0388873,0.0,0.14647617936134338
ISIC_1428473,0.0,0.4387146234512329
ISIC_5203791,0.0,0.08581838011741638
ISIC_7380175,0.0,0.11578083038330078
ISIC_7906462,0.0,0.18903908133506775
ISIC_3425831,0.0,0.0963432788848877
ISIC_7418720,0.0,0.11704692244529724
ISIC_2286273,0.0,0.045168131589889526
ISIC_3718021,0.0,0.14842817187309265
ISIC_2572370,0.0,0.2577504515647888
ISIC_0330567,0.0,0.06813487410545349
ISIC_4520168,0.0,0.21724191308021545
ISIC_9569674,0.0,0.12373730540275574
ISIC_5889165,0.0,0.05678454041481018
ISIC_7171580,0.0,0.07214844226837158
ISIC_4087753,0.0,0.08696341514587402
ISIC_4633551,0.0,0.12647631764411926
ISIC_3350519,0.0,0.13688349723815918
ISIC_3887465,0.0,0.19306519627571106
ISIC_8248707,0.0,0.17680925130844116
ISIC_0319491,0.0,0.10225129127502441
ISIC_9602122,0.0,0.07931384444236755
ISIC_0685898,0.0,0.22486871480941772
ISIC_7066489,0.0,0.2378191351890564
ISIC_7537925,0.0,0.3124665915966034
ISIC_3085118,0.0,0.2071455419063568
ISIC_9400054,0.0,0.060992538928985596
ISIC_8844946,0.0,0.08690515160560608
ISIC_6076561,0.0,0.05788430571556091
ISIC_1413589,0.0,0.016443222761154175
ISIC_9829153,0.0,0.10179418325424194
ISIC_8802922,0.0,0.24244281649589539
ISIC_6151703,0.0,0.2847306728363037
ISIC_6473876,0.0,0.17933592200279236
ISIC_0959160,0.0,0.22702237963676453
ISIC_3104441,0.0,0.19423338770866394
ISIC_3328612,0.0,0.14736336469650269
ISIC_7000309,0.0,0.06176003813743591
ISIC_6470697,0.0,0.05292820930480957
ISIC_0614259,0.0,0.0711984634399414
ISIC_2860618,0.0,0.15162444114685059
ISIC_1988336,0.0,0.10830557346343994
ISIC_0178744,0.0,0.08924975991249084
ISIC_4973809,0.0,0.03289234638214111
ISIC_9196819,0.0,0.11131685972213745
ISIC_5920680,0.0,0.24924811720848083
ISIC_0098198,0.0,0.06304234266281128
ISIC_7314034,0.0,0.13010483980178833
ISIC_8428038,0.0,0.08798602223396301
ISIC_1890460,0.0,0.05613955855369568
ISIC_3299433,0.0,0.09177306294441223
ISIC_8661993,0.0,0.4134223759174347
ISIC_1203983,0.0,0.18803060054779053
ISIC_2273490,0.0,0.08859086036682129
ISIC_8174136,0.0,0.11754921078681946
ISIC_7068548,0.0,0.15448173880577087
ISIC_2021296,0.0,0.34743380546569824
ISIC_8794567,0.0,0.18067330121994019
ISIC_1424529,0.0,0.09776344895362854
ISIC_1022263,0.0,0.07377830147743225
ISIC_7060964,0.0,0.173406720161438
ISIC_0525376,0.0,0.07688161730766296
ISIC_5674396,0.0,0.05974489450454712
ISIC_9228729,0.0,0.1637711524963379
ISIC_5443525,0.0,0.16334643959999084
ISIC_1183565,0.0,0.18966716527938843
ISIC_3791435,0.0,0.1302078664302826
ISIC_6549908,0.0,0.1502572000026703
ISIC_4913284,0.0,0.05139690637588501
ISIC_3715736,0.0,0.1223098635673523
ISIC_1949257,0.0,0.047822386026382446
ISIC_4497904,0.0,0.1653730571269989
ISIC_3436245,0.0,0.08251860737800598
ISIC_6635931,0.0,0.16807469725608826
ISIC_8193766,0.0,0.037947267293930054
ISIC_1230862,0.0,0.09527981281280518
ISIC_1709788,0.0,0.1797770857810974
ISIC_3384998,0.0,0.001482456922531128
ISIC_0196694,0.0,0.2513049840927124
ISIC_1387589,0.0,0.0731821358203888
ISIC_2545299,0.0,0.3632805347442627
ISIC_6612179,0.0,0.14562931656837463
ISIC_7307339,0.0,0.05384165048599243
ISIC_6633101,0.0,0.5571063160896301
ISIC_9094956,0.0,0.044647932052612305
ISIC_2693385,0.0,0.09997382760047913
ISIC_0198375,0.0,0.13156941533088684
ISIC_7233780,0.0,0.0646226704120636
ISIC_5468989,0.0,0.11380168795585632
ISIC_1711973,0.0,0.2432996928691864
ISIC_1660495,0.0,0.19375187158584595
ISIC_5849517,0.0,0.21818673610687256
ISIC_6008974,0.0,0.05615827441215515
ISIC_9601132,0.0,0.05919864773750305
ISIC_0929517,0.0,0.09784802794456482
ISIC_6553467,0.0,0.20876580476760864
ISIC_4606646,0.0,0.021504133939743042
ISIC_6980914,0.0,0.1817813515663147
ISIC_1693912,0.0,0.052940547466278076
ISIC_7518478,0.0,0.31824952363967896
ISIC_4691314,0.0,0.26389896869659424
ISIC_3167315,0.0,0.3468140959739685
